Indice_tiempo;Año;Trimestre;Coeficiente
01/04/2016;2016;2;0,413
01/07/2016;2016;3;0,431
01/10/2016;2016;4;0,409
01/01/2017;2017;1;0,426
01/04/2017;2017;2;0,419
01/07/2017;2017;3;0,411
01/10/2017;2017;4;0,41
01/01/2018;2018;1;0,435
01/04/2018;2018;2;0,4
01/07/2018;2018;3;0,414
01/10/2018;2018;4;0,429
01/01/2019;2019;1;0,439
01/04/2019;2019;2;0,417
01/07/2019;2019;3;0,442
01/10/2019;2019;4;0,434
01/01/2020;2020;1;0,429
01/04/2020;2020;2;0,442
01/07/2020;2020;3;0,457
01/10/2020;2020;4;0,451
01/01/2021;2021;1;0,439
01/04/2021;2021;2;0,417
01/07/2021;2021;3;0,432
01/10/2021;2021;4;0,395
01/01/2022;2022;1;0,411
01/04/2022;2022;2;0,419
01/07/2022;2022;3;0,412
01/10/2022;2022;4;0,399
01/01/2023;2023;1;0,458
01/04/2023;2023;2;0,411
